Date,Close,High,Low,Open,Volume
2017-12-18,1077.140000,1078.490000,1062.000000,1066.080000,1554552
2017-12-19,1070.680000,1076.840000,1063.550000,1075.200000,1338725
2017-12-20,1064.950000,1073.380000,1061.520000,1071.780000,1268582
2017-12-21,1063.630000,1069.330000,1061.793800,1064.950000,995703
2017-12-22,1060.120000,1064.200000,1059.440000,1061.110000,755095
2017-12-26,1056.740000,1060.120000,1050.200000,1058.070000,761237
2017-12-27,1049.370000,1058.370000,1048.050000,1057.390000,1271911
2017-12-28,1048.140000,1054.750000,1044.770000,1051.600000,837121
2017-12-29,1046.400000,1049.700000,1044.900000,1046.720000,887511
2018-01-02,1065.000000,1066.940000,1045.230000,1048.340000,1237564
2018-01-03,1082.480000,1086.290000,1063.210000,1064.310000,1430170
2018-01-04,1086.400000,1093.569900,1084.001700,1088.000000,1004605
2018-01-05,1102.230000,1104.250000,1092.000000,1094.000000,1279123
2018-01-08,1106.940000,1111.270000,1101.620000,1102.230000,1047603
2018-01-09,1106.260000,1110.570000,1101.230700,1109.400000,902541
2018-01-10,1102.610000,1104.600000,1096.110000,1097.100000,1042793
2018-01-11,1105.520000,1106.525000,1099.590000,1106.300000,978292
2018-01-12,1122.260000,1124.290000,1101.150000,1102.410000,1720533
2018-01-16,1121.760000,1139.910000,1117.831600,1132.510000,1575261
2018-01-17,1131.980000,1132.600000,1117.010000,1126.220000,1202639
2018-01-18,1129.790000,1132.510000,1117.500000,1131.410000,1198234
2018-01-19,1137.510000,1137.860000,1128.300000,1131.830000,1778229
2018-01-22,1155.810000,1159.880000,1135.110100,1137.490000,1617975
2018-01-23,1169.970000,1171.626600,1158.750000,1159.850000,1333056
2018-01-24,1164.240000,1179.860000,1161.050000,1177.330000,1416625
2018-01-25,1170.370000,1175.940000,1162.760000,1172.530000,1480540
2018-01-26,1175.840000,1175.840000,1158.110000,1175.080000,2018755
2018-01-29,1175.580000,1186.890000,1171.980000,1176.480000,1378913
2018-01-30,1163.690000,1176.520000,1163.520000,1167.830000,1556346
2018-01-31,1169.940000,1173.000000,1159.130000,1170.570000,1538688
2018-02-01,1167.700000,1174.000000,1157.520000,1162.610000,2412114
2018-02-02,1111.900000,1123.070000,1107.277900,1122.000000,4857943
2018-02-05,1055.800000,1110.000000,1052.030000,1090.600000,3798301
2018-02-06,1080.600000,1081.710000,1023.136700,1027.180000,3447956
2018-02-07,1048.580000,1081.780000,1048.260000,1081.540000,2369232
2018-02-08,1001.520000,1058.620000,1000.660000,1055.410000,2859136
2018-02-09,1037.780000,1043.970000,992.560000,1017.250000,3505862
2018-02-12,1051.940000,1061.500000,1040.928000,1048.000000,2057718
2018-02-13,1052.100000,1058.370000,1044.087200,1045.000000,1265054
2018-02-14,1069.700000,1071.720000,1046.750000,1048.950000,1555787
2018-02-15,1089.520000,1091.479400,1064.340000,1079.070000,1843442
2018-02-16,1094.800000,1104.670000,1088.313400,1088.410000,1681612
2018-02-20,1102.460000,1113.950000,1088.520000,1090.570000,1423145
2018-02-21,1111.340000,1133.970000,1106.330000,1106.470000,1512910
2018-02-22,1106.630000,1122.820000,1102.590000,1116.190000,1317166
2018-02-23,1126.790000,1127.280000,1104.713500,1112.640000,1260968
2018-02-26,1143.750000,1143.960000,1126.695000,1127.800000,1559079
2018-02-27,1118.290000,1144.040000,1118.000000,1141.240000,1774080
2018-02-28,1104.730000,1127.530000,1103.240000,1123.030000,1882600
2018-03-01,1069.520000,1110.120000,1067.001000,1107.870000,2515910
2018-03-02,1078.920000,1081.998600,1048.115000,1053.080000,2271551
2018-03-05,1090.930000,1097.100000,1069.000100,1075.140000,1202174
2018-03-06,1095.060000,1101.850000,1089.775000,1099.220000,1532783
2018-03-07,1109.640000,1112.220000,1085.482300,1089.190000,1292537
2018-03-08,1126.000000,1127.600000,1112.800000,1115.320000,1355125
2018-03-09,1160.040000,1160.800000,1132.460600,1136.000000,2128038
2018-03-12,1164.500000,1177.050000,1157.420000,1163.850000,2172272
2018-03-13,1138.170000,1176.760000,1133.330000,1170.000000,1907171
2018-03-14,1149.490000,1158.590000,1141.440000,1145.210000,1291415
2018-03-15,1149.580000,1161.080000,1134.540000,1149.960000,1472226
2018-03-16,1135.730000,1155.880000,1131.960000,1154.140000,3091954
2018-03-19,1099.820000,1121.990000,1089.010000,1120.010000,2805937
2018-03-20,1097.710000,1105.200000,1083.460000,1099.000000,1831896
2018-03-21,1090.880000,1106.299900,1085.150000,1092.740000,1878873
2018-03-22,1049.080000,1082.900000,1045.910000,1081.880000,2666964
2018-03-23,1021.570000,1063.360000,1021.220000,1047.030000,2156672
2018-03-26,1053.210000,1055.630000,1008.400000,1046.000000,2665131
2018-03-27,1005.100000,1064.839300,996.920000,1063.000000,3095315
2018-03-28,1004.560000,1024.230000,980.640000,998.000000,3369275
2018-03-29,1031.790000,1043.000000,1002.900000,1011.630000,2726830
2018-04-02,1006.470000,1034.800000,990.370000,1022.820000,2680400
2018-04-03,1013.410000,1020.990000,994.070000,1013.910000,2275076
2018-04-04,1025.140000,1028.717500,993.000000,993.410000,2484651
2018-04-05,1027.810000,1042.790000,1020.131100,1041.330000,1363049
2018-04-06,1007.040000,1031.420000,1003.030000,1020.000000,1746430
2018-04-09,1015.450000,1039.600000,1014.080000,1016.800000,1751559
2018-04-10,1031.640000,1036.280000,1011.340000,1026.440000,2029648
2018-04-11,1019.970000,1031.364100,1015.870000,1027.990000,1483881
2018-04-12,1032.510000,1040.690000,1021.434700,1025.040000,1359389
2018-04-13,1029.270000,1046.420000,1022.980000,1040.880000,1223017
2018-04-16,1037.980000,1043.240000,1026.740000,1037.000000,1211208
2018-04-17,1074.160000,1077.880000,1048.260000,1051.370000,2320266
2018-04-18,1072.080000,1077.430000,1066.225000,1077.430000,1344138
2018-04-19,1087.700000,1094.165000,1068.180000,1069.400000,1747671
2018-04-20,1072.960000,1092.350000,1069.570000,1082.000000,1889686
2018-04-23,1067.450000,1082.720000,1060.700000,1077.860000,2341258
2018-04-24,1019.980000,1057.000000,1010.590000,1052.000000,4760260
2018-04-25,1021.180000,1032.490000,1015.310000,1025.520000,2391105
2018-04-26,1040.040000,1047.980000,1018.190000,1029.510000,2079533
2018-04-27,1030.050000,1049.500000,1025.590000,1046.000000,1619796
2018-04-30,1017.330000,1037.000000,1016.850000,1030.010000,1671254
2018-05-01,1037.310000,1038.470000,1008.210000,1013.660000,1427857
2018-05-02,1024.380000,1040.389000,1022.870000,1028.100000,1603081
2018-05-03,1023.720000,1029.675000,1006.290000,1019.000000,1815058
2018-05-04,1048.210000,1048.510000,1016.900000,1016.900000,1938658
2018-05-07,1054.790000,1061.680000,1047.100000,1049.230000,1466065
2018-05-08,1053.910000,1060.550000,1047.145000,1058.540000,1217721
2018-05-09,1082.760000,1085.440000,1056.365000,1058.100000,2032818
2018-05-10,1097.570000,1100.440000,1085.640000,1086.030000,1443025
2018-05-11,1098.260000,1101.329500,1090.910000,1093.600000,1253665
2018-05-14,1100.200000,1110.750000,1099.110000,1100.000000,1518077
2018-05-15,1079.230000,1090.050000,1073.470000,1090.000000,1494872
2018-05-16,1081.770000,1089.270000,1076.260000,1077.310000,1097317
2018-05-17,1078.590000,1086.870000,1073.500000,1079.890000,1043766
2018-05-18,1066.360000,1069.940000,1060.680000,1061.860000,1565240
2018-05-21,1079.580000,1088.000000,1073.650000,1074.060000,1023211
2018-05-22,1069.730000,1086.590000,1066.690000,1083.560000,1090002
2018-05-23,1079.690000,1080.780000,1061.710000,1065.130000,1060683
2018-05-24,1079.240000,1080.470000,1066.150000,1079.000000,766773
2018-05-25,1075.660000,1082.560000,1073.775000,1079.020000,899406
2018-05-29,1060.320000,1073.370000,1055.220000,1064.890000,1865139
2018-05-30,1067.800000,1069.210000,1056.830000,1063.030000,1138457
2018-05-31,1084.990000,1097.190000,1067.560000,1067.560000,3088305
2018-06-01,1119.500000,1120.000000,1098.500000,1099.350000,2421598
2018-06-04,1139.290000,1141.890000,1122.005000,1122.330000,1889579
2018-06-05,1139.660000,1145.738000,1133.190000,1140.990000,1677973
2018-06-06,1136.880000,1143.000000,1125.742900,1142.170000,1698247
2018-06-07,1123.860000,1135.820000,1116.520000,1131.320000,1520020
