Date,Close,High,Low,Open,Volume
2017-12-18,338.870000,346.730000,337.580000,344.900000,5476166
2017-12-19,331.100000,341.492500,330.300000,340.260000,6824971
2017-12-20,328.980000,333.100000,325.040000,332.690000,5953800
2017-12-21,331.660000,333.740000,327.210000,329.590000,4385222
2017-12-22,325.200000,330.921400,324.820000,329.510000,4215807
2017-12-26,317.290000,323.940000,316.580000,323.830000,4378413
2017-12-27,311.640000,317.680000,310.750000,316.000000,4712111
2017-12-28,315.360000,315.820000,309.540000,311.750000,4316347
2017-12-29,311.350000,316.410000,310.000000,316.180000,3777155
2018-01-02,320.530000,322.109900,311.000000,312.000000,4352241
2018-01-03,317.250000,325.250000,315.550000,321.000000,4521527
2018-01-04,314.620000,318.550000,305.680000,312.870000,9946304
2018-01-05,316.580000,317.240000,312.000000,316.620000,4591180
2018-01-08,336.410000,337.019900,315.500000,316.000000,9859435
2018-01-09,333.690000,338.800000,327.405000,335.160000,7146631
2018-01-10,334.800000,337.000000,330.000000,332.200000,4309926
2018-01-11,337.950000,344.809900,333.260000,335.240000,6645484
2018-01-12,336.220000,340.410000,333.670000,338.630000,4825059
2018-01-16,340.060000,345.000000,334.800000,337.540000,6474251
2018-01-17,347.160000,349.000000,339.750000,340.470000,7103505
2018-01-18,344.570000,352.300000,343.740000,345.670000,5685845
2018-01-19,350.020000,350.589900,342.600000,345.000000,4888303
2018-01-22,351.560000,357.830000,349.200000,349.400000,6210360
2018-01-23,352.790000,360.500000,351.000000,360.000000,5465414
2018-01-24,345.890000,354.750000,343.520000,354.580000,5287478
2018-01-25,337.640000,349.200000,336.400000,348.270000,6740303
2018-01-26,342.850000,344.000000,335.710000,341.500000,4539356
2018-01-29,349.530000,350.850000,338.280000,339.850000,4747149
2018-01-30,345.820000,348.270000,342.170000,345.140000,4717700
2018-01-31,354.310000,356.190000,345.190000,347.510000,6214069
2018-02-01,349.250000,359.660000,348.630000,351.000000,4197687
2018-02-02,343.750000,351.950000,340.510000,348.440000,3704836
2018-02-05,333.130000,344.470000,333.000000,337.970000,4464147
2018-02-06,333.970000,336.220000,323.500000,325.210000,5088438
2018-02-07,345.000000,346.000000,335.660000,338.990000,6969239
2018-02-08,315.230000,348.620000,314.600000,343.310000,10314573
2018-02-09,310.420000,320.984500,294.760000,319.930000,12933721
2018-02-12,315.730000,318.080000,306.250000,316.130000,6227822
2018-02-13,323.660000,324.190000,312.510500,315.020000,4560231
2018-02-14,322.310000,326.170000,318.520000,320.840000,3950743
2018-02-15,334.065000,334.120000,322.400000,324.500000,5912917
2018-02-16,335.490000,343.120000,331.640000,332.500000,5642637
2018-02-20,334.770000,340.840000,331.500000,334.470000,4009435
2018-02-21,333.300000,339.692900,333.170000,336.030000,3219649
2018-02-22,346.170000,347.440000,334.750100,335.530000,6969808
2018-02-23,352.050000,354.990000,347.100000,347.830000,5817387
2018-02-26,357.420000,359.000000,352.355000,353.500000,4339985
2018-02-27,350.990000,359.990000,350.010000,356.250000,4797419
2018-02-28,343.060000,355.240000,342.220000,352.570000,6069658
2018-03-01,330.930000,348.670000,330.070000,345.010000,6885601
2018-03-02,335.120000,335.220000,322.970000,326.980000,5092829
2018-03-05,333.350000,337.750000,329.292900,332.390000,3823769
2018-03-06,328.200000,336.370000,327.030000,333.750000,4285744
2018-03-07,332.300000,332.500000,321.740000,325.440000,5007297
2018-03-08,329.100000,333.300000,326.274000,332.860000,3566244
2018-03-09,327.170000,328.490000,322.370000,324.100000,5506764
2018-03-12,345.510000,347.210000,326.500000,328.610000,8264035
2018-03-13,341.840000,345.120000,336.263500,344.920000,5965805
2018-03-14,326.630000,339.810000,323.930000,336.760000,7967370
2018-03-15,325.600000,332.850000,321.100000,329.380000,6564801
2018-03-16,321.350000,327.400000,319.070000,322.931400,6117279
2018-03-19,313.560000,320.750000,309.670000,316.500000,7484294
2018-03-20,310.550000,316.250000,308.760000,314.870000,4764293
2018-03-21,316.530000,322.440000,310.190000,310.250000,5958411
2018-03-22,309.100000,318.820000,308.180000,313.890000,4939771
2018-03-23,301.540000,311.610000,300.450000,311.250000,6654899
2018-03-26,304.180000,307.590000,291.360000,307.340000,8375175
2018-03-27,279.180000,304.270000,277.180000,304.000000,13872029
2018-03-28,257.780000,268.680000,252.100000,264.580000,21001437
2018-03-29,266.130000,270.959900,248.210000,256.490000,15170749
2018-04-02,252.480000,260.331800,244.590100,256.260000,16113968
2018-04-03,267.530000,273.350000,254.490000,269.820000,18844384
2018-04-04,286.940000,288.370000,252.000000,252.780000,19896746
2018-04-05,305.720000,306.260000,288.200000,289.340000,19121101
2018-04-06,299.300000,309.280000,295.500000,301.000000,13520286
2018-04-09,289.660000,309.500000,289.210000,300.370000,10249805
2018-04-10,304.700000,307.100000,293.680000,298.970000,11024259
2018-04-11,300.930000,308.980000,299.660000,300.740300,7482945
2018-04-12,294.080000,303.950000,293.680000,302.320000,7608769
2018-04-13,300.340000,303.949900,295.980000,303.600000,7327223
2018-04-16,291.210000,299.660000,289.010000,299.000000,6338488
2018-04-17,287.690000,292.170000,282.510000,288.870000,7000023
2018-04-18,293.350000,300.240000,288.160000,291.080000,6557700
2018-04-19,300.080000,301.010000,288.550000,291.080000,6090599
2018-04-20,290.240000,299.980000,289.750000,295.170000,5627928
2018-04-23,283.370000,291.620000,282.330000,291.290000,4893378
2018-04-24,283.460000,287.090000,278.460000,285.000000,5685308
2018-04-25,280.690000,285.160000,277.250000,283.500000,4013574
2018-04-26,285.480000,285.790000,276.500000,278.750000,4356013
2018-04-27,294.075000,294.470000,283.830000,285.370000,4364626
2018-04-30,293.900000,298.730000,292.500000,293.610000,4228172
2018-05-01,299.920000,300.820000,293.220000,293.510000,4625603
2018-05-02,301.150000,306.850000,297.784400,298.570000,8970370
2018-05-03,284.450000,288.040000,275.230000,278.790000,17352130
2018-05-04,294.090000,296.860000,279.520000,283.000000,8569354
2018-05-07,302.770000,305.958800,295.170000,297.500000,8678224
2018-05-08,301.970000,307.750000,299.000000,300.795300,5930000
2018-05-09,306.850000,307.010000,300.050000,300.410000,5727365
2018-05-10,305.020000,312.990000,304.111900,307.499700,5651561
2018-05-11,301.060000,308.880000,299.080000,307.700000,4679649
2018-05-14,291.970000,304.940000,291.620000,303.320000,7286804
2018-05-15,284.180000,286.960000,280.500000,285.010000,9519173
2018-05-16,286.480000,288.810000,281.560000,283.830000,5674019
2018-05-17,284.540000,289.187300,283.970000,285.900000,4420612
2018-05-18,276.820000,284.650000,274.000000,284.650000,7251887
2018-05-21,284.490000,291.490000,281.300000,281.330000,9182571
2018-05-22,275.010000,288.000000,273.422000,287.762000,8945756
2018-05-23,279.070000,279.909900,274.000000,277.760000,5985053
2018-05-24,277.850000,281.110000,274.890000,278.400000,4176708
2018-05-25,278.850000,279.640000,275.610000,277.625200,3875082
2018-05-29,283.760000,286.500000,276.150000,278.510000,5666640
2018-05-30,291.720000,295.005000,281.600000,283.290000,7489686
2018-05-31,284.730000,290.370000,282.930000,287.210000,5919721
2018-06-01,291.820000,291.950000,283.839000,285.860000,5424386
2018-06-04,296.740000,299.000000,293.548000,294.340000,4797810
2018-06-05,291.130000,297.800000,286.740000,297.700000,5995157
2018-06-06,319.500000,322.170000,297.480000,300.500000,18767269
2018-06-07,316.090000,330.000000,313.580000,316.150000,14345271
2018-06-08,317.660000,324.480000,317.150000,319.000000,8205202
2018-06-11,332.100000,334.660000,322.500000,322.510000,13183473
2018-06-12,342.770000,354.970000,338.000000,344.700000,22347403
2018-06-13,344.780000,347.200000,339.800000,346.706000,9469804
2018-06-14,357.720000,358.750000,346.600000,347.630000,10981023
2018-06-15,358.170000,364.670000,351.250000,353.840000,10848254
2018-06-18,370.830000,373.730000,354.500000,355.400000,12073226
2018-06-19,352.550000,370.000000,346.250000,365.160000,12761903
2018-06-20,362.220000,364.380000,352.000000,358.040000,8383656
2018-06-21,347.510000,366.213900,346.270000,362.000000,7967145
2018-06-22,333.630000,352.250000,332.000000,351.540000,10266059
2018-06-25,333.010000,338.470000,327.500000,330.120000,6931304
2018-06-26,342.000000,343.550000,325.799000,336.054000,7452487
2018-06-27,344.500000,350.790000,339.500000,345.000000,8333727
2018-06-28,349.930000,357.020000,346.110000,348.660000,8398005
2018-06-29,342.950000,353.860000,342.410000,353.330000,6492396
2018-07-02,335.070000,364.780000,329.850000,360.070000,18758031
2018-07-03,310.860000,332.490000,309.690000,331.750000,12282638
2018-07-05,309.160000,314.390000,296.220000,313.760000,17476374
2018-07-06,308.900000,312.070000,302.000000,304.954500,8865451
2018-07-09,318.510000,318.520000,308.000000,311.990000,7596753
2018-07-10,322.470000,327.677100,319.200000,324.560000,9471498
2018-07-11,318.960000,321.940000,315.070000,315.800000,4884076
2018-07-12,316.710000,323.230000,312.770000,321.430000,5721166
2018-07-13,318.870000,319.584900,309.250000,315.580000,5875770
2018-07-16,310.100000,315.160000,306.250000,311.710000,7818655
2018-07-17,322.690000,324.740000,308.500000,308.810000,6996232
2018-07-18,323.850000,325.500000,316.250000,325.000000,5624211
2018-07-19,320.230000,323.540000,314.010000,316.330000,5915345
2018-07-20,313.580000,323.240000,311.709300,321.230000,5166547
2018-07-23,303.200000,305.500000,292.860100,301.840000,10992947
2018-07-24,297.430000,307.717100,292.545200,304.420900,9590784
2018-07-25,308.740000,309.620000,294.502500,296.740000,7094180
2018-07-26,306.650000,310.700000,303.641100,304.850000,4630522
2018-07-27,297.180000,307.693300,295.340400,307.250000,5703326
2018-07-30,290.170000,296.100000,286.130000,295.900000,6814072
2018-07-31,298.140000,298.320000,289.070000,292.250000,5079854
2018-08-01,300.840000,303.000000,293.000000,297.990000,10129430
2018-08-02,349.540000,349.990000,323.160000,328.440000,23214962
2018-08-03,348.170000,355.000000,342.530000,347.810000,13656486
2018-08-06,341.990000,354.980000,341.820000,345.460000,8564331
2018-08-07,379.570000,387.460000,339.150100,343.840000,30875768
2018-08-08,370.340000,382.640000,367.120000,369.090000,24571163
2018-08-09,352.450000,367.010000,345.730000,365.550000,17183811
2018-08-10,355.490000,360.000000,346.000000,354.000000,11552044
2018-08-13,356.410000,363.190000,349.020000,361.130000,10463881
2018-08-14,347.640000,359.199500,347.100000,358.450000,6986427
2018-08-15,338.690000,344.490000,332.140000,341.905900,9101386
2018-08-16,335.450000,342.280000,333.820000,339.910000,6064033
2018-08-17,305.500000,326.770000,303.530000,323.500000,18958612
2018-08-20,308.440000,308.500000,288.200000,291.703500,17402335
2018-08-21,321.900000,324.790000,309.000000,310.610000,13172230
2018-08-22,321.640000,323.880000,314.670000,320.870000,5945955
2018-08-23,320.100000,327.320000,318.100000,319.140000,5147286
2018-08-24,322.820000,323.850000,319.400000,320.700000,3602564
2018-08-27,319.270000,322.435000,308.810000,318.000000,13079288
2018-08-28,311.860000,318.880000,311.190000,318.410000,7649091
2018-08-29,305.010000,311.850000,303.690000,310.270000,7447392
2018-08-30,303.150000,304.600000,297.720000,302.260000,7216706
2018-08-31,301.660000,305.308200,298.600000,302.000000,5375104
